order_id,customer_name,gender,age,city,state,order_date,product,category,quantity,unit_price,payment_mode,delivery_status,rating,returned
1,Connie Boyd,Male,41,Delhi,Delhi,24/11/2023,Phone,Electronics,2,599,,Delivered,-1,False
2,Daniel Jimenez,Male,30,Delhi,Karnataka,01-17-2023,Laptop,Electronics,-2,599,Crypto,Pending,-1,False
3,Mark Young,F,41,Jaipur,Delhi,2023-04-23,Headphones,Accessories,0,29999,Cash,Pending,4,False
4,Richard Smith,M,22,Mumbai,Maharashtra,22/02/2023,Phone,Electronics,-2,29999,UPI,,-1,True
5,Marcus Wang,Male,150,Mumbai,Karnataka,05-13-2024,Printer,Electronics,3,1499,,Delivered,3,
6,Brianna Dennis,Male,30,Jaipur,Gujarat,2023-04-27,Monitor,Electronics,3,-500,,Cancelled,4,False
7,Jose Mitchell,Unknown,22,Bengaluru,Delhi,01/07/2023,Keyboard,Accessories,-2,1499,Card,,8,False
8,Nathan Marshall,Unknown,22,Delhi,Rajasthan,04-18-2024,Keyboard,Accessories,3,-500,Cash,Delivered,4,
9,Diana Richardson,Female,-5,Ahmedabad,Gujarat,2024-03-24,Tablet,Electronics,2,29999,Card,Pending,-1,
10,Tiffany James DDS,F,-5,Mumbai,Delhi,15/05/2023,Printer,Electronics,2,-500,UPI,Delivered,3,True
11,Shannon Fletcher,M,150,Jaipur,Gujarat,11-18-2023,Mouse,Accessories,0,-500,Crypto,Cancelled,-1,True
12,Debbie Bailey,F,41,Mumbai,Rajasthan,2023-12-15,Phone,Electronics,3,-500,Card,,3,
13,John Gross,F,,Delhi,Karnataka,24/03/2024,Monitor,Electronics,1,29999,,Pending,4,False
14,Jamie Drake,F,150,Jaipur,Karnataka,01-26-2024,Mouse,Accessories,3,-500,UPI,Delivered,5,False
15,Roger Charles,Female,150,Jaipur,Rajasthan,2023-05-03,Laptop,Electronics,0,599,Crypto,Pending,4,
16,Brooke Williams,Unknown,150,Bengaluru,Gujarat,01/09/2023,Mouse,Accessories,2,1499,,Cancelled,8,
17,,M,150,Ahmedabad,Rajasthan,11-29-2023,Tablet,Electronics,2,1499,UPI,Cancelled,3,
18,Michael Jenkins,F,30,Jaipur,Rajasthan,2023-10-11,Keyboard,Accessories,1,1499,UPI,Delivered,5,True
19,Pamela Martinez,Unknown,-5,Delhi,Karnataka,21/09/2023,Keyboard,Accessories,2,-500,Card,,,False
20,Derrick Carson,Male,-5,Mumbai,Gujarat,04-08-2023,Phone,Electronics,0,-500,,Delivered,3,True
21,Crystal Smith,Male,30,Delhi,Delhi,2023-07-26,Tablet,Electronics,-2,-500,Card,,4,False
22,Julia Yates,Male,-5,Bengaluru,Rajasthan,25/08/2023,Keyboard,Accessories,1,599,UPI,Pending,4,False
23,Jose Peterson,Female,-5,Jaipur,Delhi,09-06-2023,Headphones,Accessories,0,599,,Cancelled,8,False
24,William Smith,Female,30,Mumbai,Delhi,2023-08-05,Headphones,Accessories,1,599,,Cancelled,3,True
25,Edward Moore,F,150,Delhi,Rajasthan,27/10/2023,Headphones,Accessories,-2,599,Card,Delivered,-1,True
26,Gary Ramsey,M,,Jaipur,Karnataka,12-12-2023,Keyboard,Accessories,2,599,Crypto,Delivered,8,
27,Hannah Cherry,Unknown,30,Mumbai,,2023-10-26,Tablet,Electronics,2,29999,,Pending,5,False
28,Andrew Knight,Male,-5,Bengaluru,Karnataka,11/06/2023,Phone,Electronics,1,599,Crypto,Pending,-1,False
29,,Male,30,Mumbai,Maharashtra,03-09-2023,Tablet,Electronics,2,-500,Crypto,Cancelled,-1,
30,Mrs. Brittany Rodriguez,F,41,Jaipur,Delhi,2023-09-28,Laptop,Electronics,3,599,UPI,Pending,5,False
31,Sarah Chavez,Unknown,30,,Maharashtra,06/11/2023,Keyboard,Accessories,-2,-500,Cash,Delivered,3,
32,Jessica Evans,Male,22,Mumbai,Delhi,08-05-2023,Monitor,Electronics,3,1499,,,-1,
33,Andrew Vincent,Male,22,Delhi,Karnataka,2023-08-07,Laptop,Electronics,1,29999,Crypto,Pending,8,True
34,,Unknown,22,Mumbai,Delhi,22/01/2023,Monitor,Electronics,2,599,Cash,,-1,
35,Michael Garcia,Female,30,Ahmedabad,Rajasthan,03-21-2023,Keyboard,Accessories,2,29999,,Pending,5,True
36,Timothy Oliver,M,22,Ahmedabad,Delhi,2024-02-08,Phone,Electronics,2,-500,Cash,Cancelled,4,True
37,Kelly Evans,M,41,Mumbai,Rajasthan,13/01/2023,,Accessories,3,29999,,,-1,False
38,John Holt,Male,41,Delhi,Karnataka,04-25-2024,Laptop,Electronics,3,599,UPI,,,False
39,Kristen Lopez,M,,Bengaluru,Karnataka,2024-01-09,Tablet,Electronics,1,-500,Crypto,Pending,5,True
40,Jesse Larson,Male,150,Bengaluru,Delhi,29/12/2023,Printer,Electronics,3,-500,UPI,Cancelled,-1,False
41,Thomas Mason,Unknown,150,Mumbai,Gujarat,12-06-2023,Phone,,3,-500,,Cancelled,-1,True
42,Angela Anderson,M,30,Bengaluru,Karnataka,2023-04-09,Printer,Electronics,3,-500,Crypto,Delivered,5,False
43,Timothy Spencer,F,150,Mumbai,Gujarat,18/04/2023,Printer,Electronics,0,-500,,Pending,-1,False
44,Andrew Hill,Male,41,Bengaluru,Karnataka,02-11-2024,Mouse,Accessories,3,599,Card,Cancelled,4,True
45,Dennis Mason,Male,30,Ahmedabad,Karnataka,2023-03-17,Laptop,Electronics,1,-500,,Pending,8,False
46,Karen Allen,Female,22,Jaipur,Gujarat,24/07/2023,Keyboard,Accessories,2,1499,,,3,
47,Nina Bishop,M,30,Ahmedabad,Karnataka,05-08-2023,Phone,Electronics,-2,29999,,,-1,False
48,Michelle Webb,M,-5,Mumbai,Delhi,2024-04-04,Mouse,Accessories,3,-500,,Pending,5,False
49,Brenda Kane,Female,41,Mumbai,Maharashtra,09/02/2023,Monitor,Electronics,-2,599,Card,Pending,4,False
50,William Larson,Female,22,Ahmedabad,Gujarat,12-22-2023,Mouse,Accessories,3,-500,,Delivered,4,False
51,,F,-5,Ahmedabad,Rajasthan,2023-07-19,Laptop,Electronics,3,29999,,,-1,
52,Jamie King,M,,Delhi,Maharashtra,12/01/2024,Keyboard,Accessories,0,-500,UPI,,5,
53,Cynthia Bass,Female,-5,Delhi,Karnataka,12-14-2023,Printer,Electronics,-2,599,,Delivered,3,
54,Samuel Anderson,M,30,Jaipur,,2023-08-08,Mouse,Accessories,3,-500,Cash,Pending,8,False
55,Sara Wilson,Unknown,-5,Mumbai,Rajasthan,22/06/2023,Printer,Electronics,0,599,,Delivered,5,True
56,Matthew Torres,Male,22,Delhi,Delhi,11-29-2023,Phone,Electronics,1,1499,Card,Pending,8,
57,Amber Johnson,M,41,Mumbai,Delhi,2023-02-28,Keyboard,Accessories,-2,599,Card,Cancelled,,True
58,,Unknown,150,Ahmedabad,Gujarat,24/10/2023,Laptop,Electronics,2,599,Crypto,Pending,3,
59,Elizabeth Velez,F,22,Bengaluru,Rajasthan,01-31-2024,Monitor,Electronics,3,-500,,Cancelled,3,
60,Robert Carroll,Male,-5,Ahmedabad,Rajasthan,2023-11-28,Tablet,Electronics,0,29999,,,4,False
61,Amanda Reed,F,150,Ahmedabad,Gujarat,01/04/2023,Monitor,Electronics,0,29999,Cash,Pending,3,False
62,Adam Smith,Female,-5,,Karnataka,03-27-2024,Headphones,Accessories,-2,-500,Cash,Delivered,8,False
63,Jason Warren,Female,41,Mumbai,Maharashtra,2023-04-04,Headphones,Accessories,3,29999,Crypto,Delivered,-1,True
64,James Jones,M,-5,Bengaluru,Delhi,13/02/2023,Keyboard,Accessories,0,-500,,Delivered,3,False
65,Robert Garza,Female,,Mumbai,Karnataka,04-24-2023,Printer,Electronics,3,-500,Crypto,Cancelled,8,
66,Miguel West,Unknown,-5,Mumbai,Maharashtra,2023-10-09,Tablet,Electronics,3,1499,UPI,Pending,5,True
67,Ann Riley,Female,30,Ahmedabad,Maharashtra,16/01/2024,Mouse,Accessories,-2,29999,UPI,Pending,5,True
68,,Unknown,22,Bengaluru,Delhi,07-04-2023,Mouse,Accessories,3,599,UPI,Cancelled,4,
69,David Good,Male,22,Bengaluru,Maharashtra,2024-03-20,Headphones,Accessories,0,-500,,Cancelled,4,True
70,Julie Benitez,Male,22,Ahmedabad,Gujarat,10/05/2023,Headphones,Accessories,1,599,Card,Pending,-1,False
71,Sabrina Ortiz,Male,150,Ahmedabad,Karnataka,02-13-2023,Keyboard,Accessories,-2,1499,Crypto,,8,False
72,Angie Vincent,Unknown,150,Bengaluru,Rajasthan,2023-06-02,Printer,Electronics,-2,599,Card,Pending,5,
73,Katherine Fritz,Female,30,Bengaluru,Rajasthan,11/02/2023,Mouse,Accessories,2,599,,,-1,False
74,Nathaniel Moody,Female,41,Mumbai,Gujarat,05-30-2023,,Electronics,1,1499,Cash,Pending,8,True
75,Jeffrey Powell,Female,41,Delhi,Rajasthan,2023-10-06,Keyboard,Accessories,1,1499,Cash,Cancelled,8,True
76,Deborah White,M,41,Bengaluru,Karnataka,28/08/2023,Monitor,Electronics,0,-500,UPI,Delivered,,False
77,Christy Howard,F,41,Jaipur,Rajasthan,01-12-2024,Tablet,Electronics,2,599,,Cancelled,-1,True
78,Heather Singh,M,,Bengaluru,Gujarat,2024-01-26,Mouse,Accessories,3,1499,Crypto,,8,True
79,Miguel Russell,M,41,Mumbai,Rajasthan,29/08/2023,Tablet,Electronics,2,29999,,,5,
