order_id,customer_fullname,gender,age,city,state,order_date,product,category,quantity,unit_price,payment_mode,delivery_status,rating,returned,Total_amount,is_delivered
195,Matthew Nielsen,Female,49,Mumbai,Rajasthan,2024-02-08,Headphones,Accessories,1,29999,Crypto,Delivered,5,false,29999,1
262,Debra Hudson,Unknown,22,Ahmedabad,Maharashtra,12/01/2024,Keyboard,Accessories,3,599,unknown,Delivered,4,true,1797,1
375,Elijah Rodriguez,M,30,Ahmedabad,Rajasthan,2024-04-04,Mouse,Accessories,3,1499,Card,Delivered,8,true,4497,1
389,Shirley Sparks,F,150,Mumbai,Rajasthan,06-04-2023,Headphones,Accessories,3,1499,Card,Delivered,0,true,4497,1
395,Cody Charles,Male,22,Jaipur,Rajasthan,08-24-2023,Tablet,Electronics,2,29999,Crypto,Delivered,0,true,59998,1
446,Claire Farrell,F,-5,Ahmedabad,Delhi,05-19-2023,Keyboard,Accessories,2,1499,unknown,Delivered,4,false,2998,1
453,Jason Roberts,Female,30,Mumbai,Rajasthan,2023-04-05,Laptop,Electronics,2,1499,unknown,Delivered,3,true,2998,1
502,Nancy Matthews,Female,-5,Bengaluru,Rajasthan,30/05/2023,Printer,Electronics,3,500,Crypto,Delivered,4,true,1500,1
592,David Taylor,Female,22,Ahmedabad,Rajasthan,10/02/2024,unknown,Electronics,1,599,Card,Delivered,0,false,599,1
625,Heather Johnson,M,150,Delhi,Gujarat,07/06/2023,Laptop,Electronics,3,599,Cash,Delivered,0,,1797,1
710,David Maxwell,Unknown,30,Delhi,Maharashtra,04-09-2024,Headphones,Accessories,2,500,Cash,Delivered,0,true,1000,1
776,Andrew Hayes,Male,-5,Mumbai,Rajasthan,02-13-2023,Laptop,Electronics,2,599,unknown,Delivered,5,,1198,1
787,Michael Reed,Male,41,Jaipur,Rajasthan,24/07/2023,Mouse,Accessories,3,599,Crypto,Delivered,4,false,1797,1
914,Mark Torres,F,-5,Delhi,Gujarat,12/06/2023,Tablet,Electronics,1,29999,unknown,Delivered,0,true,29999,1
26,Gary Ramsey,M,49,Jaipur,Karnataka,12-12-2023,Keyboard,Accessories,2,599,Crypto,Delivered,8,,1198,1
42,Angela Anderson,M,30,Bengaluru,Karnataka,2023-04-09,Printer,Electronics,3,500,Crypto,Delivered,5,false,1500,1
127,Andrew Brady,Unknown,30,Bengaluru,Gujarat,27/07/2023,Laptop,Electronics,3,599,unknown,Delivered,4,false,1797,1
151,Joshua Rice,Unknown,41,Jaipur,Maharashtra,23/01/2023,Printer,Electronics,1,29999,Card,Delivered,0,,29999,1
185,Stephanie Lin,F,150,Ahmedabad,Delhi,09-03-2023,unknown,Accessories,2,599,Crypto,Delivered,4,true,1198,1
299,Kimberly Allen,Female,49,Jaipur,Delhi,04-21-2023,Tablet,Electronics,3,500,Crypto,Delivered,5,false,1500,1
316,Claudia Smith,Male,41,Ahmedabad,Rajasthan,13/06/2023,Mouse,Accessories,3,1499,Card,Delivered,5,false,4497,1
481,Aaron Mayer,F,49,Jaipur,Rajasthan,30/01/2023,unknown,Electronics,3,599,Card,Delivered,3,,1797,1
598,Nicole Mccoy,F,49,Delhi,Delhi,15/01/2024,Laptop,Electronics,1,500,Crypto,Delivered,3,true,500,1
704,Dawn Morgan,Unknown,150,Delhi,Delhi,11-15-2023,Headphones,Accessories,1,29999,Cash,Delivered,3,,29999,1
705,Samuel Steele,Male,-5,Mumbai,Delhi,2024-05-02,Printer,Electronics,2,500,UPI,Delivered,4,true,1000,1
755,Jonathan Mann,F,41,Delhi,Rajasthan,03-28-2023,Laptop,Electronics,1,29999,unknown,Delivered,5,true,29999,1
935,Chad Brown,Male,30,Jaipur,Karnataka,27/01/2023,Monitor,Electronics,1,599,unknown,Delivered,3,true,599,1
222,Carlos Soto,M,30,Mumbai,Delhi,2024-05-09,unknown,Accessories,2,500,Card,Delivered,0,true,1000,1
246,Michael West,F,150,Jaipur,Rajasthan,2024-02-09,Tablet,unknown,2,29999,Card,Delivered,0,,59998,1
327,Joseph Hoffman,F,30,Ahmedabad,Maharashtra,2023-08-03,Headphones,Accessories,1,500,unknown,Delivered,0,,500,1
328,William Benjamin,Male,-5,Delhi,Delhi,06/04/2024,Mouse,unknown,2,1499,Card,Delivered,8,true,2998,1
488,Kristopher English,Unknown,41,Bengaluru,Delhi,03-21-2023,Mouse,Accessories,2,29999,Cash,Delivered,0,false,59998,1
610,Mark Martin MD,F,150,Bengaluru,Delhi,21/01/2024,Monitor,Electronics,1,29999,unknown,Delivered,0,,29999,1
773,Yesenia Gray,M,22,Delhi,Delhi,01-13-2024,Keyboard,Accessories,2,29999,Cash,Delivered,3,true,59998,1
80,Judy Gonzalez,F,22,Ahmedabad,Rajasthan,04-28-2024,Printer,Electronics,3,29999,Cash,Delivered,8,,89997,1
364,Beth Sanders,F,49,Mumbai,Rajasthan,02/04/2024,Headphones,Accessories,3,29999,Card,Delivered,8,false,89997,1
664,Anthony Watson,F,150,Ahmedabad,Maharashtra,03/12/2023,Printer,Electronics,1,500,Crypto,Delivered,5,false,500,1
723,Laura Klein,M,-5,Mumbai,Gujarat,2024-03-28,Monitor,Electronics,2,1499,Cash,Delivered,8,true,2998,1
861,Madison Bennett,Unknown,22,Jaipur,Rajasthan,2023-05-13,Phone,unknown,3,1499,unknown,Delivered,0,false,4497,1
873,Mary Murray,M,-5,Mumbai,Gujarat,2024-02-12,Phone,Electronics,3,599,UPI,Delivered,3,true,1797,1
932,Kayla Harris,Unknown,150,Delhi,Maharashtra,20/11/2023,Printer,Electronics,2,599,UPI,Delivered,8,true,1198,1
190,James Phillips,M,41,Delhi,Maharashtra,21/10/2023,Printer,Electronics,1,29999,unknown,Delivered,3,false,29999,1
365,Andrew Hodge,Unknown,-5,Ahmedabad,Gujarat,05-07-2024,Headphones,Accessories,2,599,Card,Delivered,4,true,1198,1
447,Dean Parker,F,150,Mumbai,Gujarat,2023-09-13,Mouse,Accessories,3,29999,Crypto,Delivered,8,true,89997,1
565,Brittany Garcia,F,22,Mumbai,Karnataka,31/08/2023,Mouse,Accessories,1,29999,unknown,Delivered,4,,29999,1
599,Amber Mclean,F,150,Mumbai,Gujarat,01-05-2024,Headphones,Accessories,2,29999,Card,Delivered,5,true,59998,1
641,David Coleman,M,150,Bengaluru,Maharashtra,07-05-2023,Mouse,Accessories,2,29999,UPI,Delivered,4,true,59998,1
922,Amy Thompson,Female,-5,Bengaluru,Maharashtra,29/04/2024,Monitor,Electronics,3,599,unknown,Delivered,5,true,1797,1
917,Cindy Gomez,Unknown,-5,Ahmedabad,Karnataka,27/07/2023,Phone,Electronics,2,29999,Card,Delivered,3,false,59998,1
922,John Olsen,Female,30,Bengaluru,unknown,2023-04-21,Tablet,Electronics,1,29999,Cash,Delivered,5,false,29999,1
5,Marcus Wang,Male,150,Mumbai,Karnataka,05-13-2024,Printer,Electronics,3,1499,unknown,Delivered,3,,4497,1
471,Sarah Griffin,F,30,Mumbai,Rajasthan,2023-10-25,Headphones,Accessories,2,1499,unknown,Delivered,0,false,2998,1
588,Christopher Williams,Unknown,22,Ahmedabad,Karnataka,2023-11-20,Laptop,Electronics,2,599,UPI,Delivered,8,,1198,1
14,Jamie Drake,F,150,Jaipur,Karnataka,01-26-2024,Mouse,Accessories,3,500,UPI,Delivered,5,false,1500,1
103,Vincent Stokes PhD,Male,30,Jaipur,Rajasthan,04/06/2023,Printer,Electronics,3,500,UPI,Delivered,4,,1500,1
263,Robert Austin,F,-5,Delhi,Karnataka,02-20-2024,Tablet,Electronics,2,1499,Card,Delivered,0,false,2998,1
318,James Torres,Male,-5,Bengaluru,Delhi,2023-10-07,Printer,Electronics,2,500,UPI,Delivered,5,true,1000,1
728,Jake Cook,F,49,Jaipur,Karnataka,02-05-2024,Phone,Electronics,1,1499,unknown,Delivered,4,false,1499,1
939,Courtney Nichols,Female,150,Mumbai,Rajasthan,11-11-2023,Laptop,Electronics,2,599,Crypto,Delivered,0,,1198,1
1,Connie Boyd,Male,41,Delhi,Delhi,24/11/2023,Phone,Electronics,2,599,unknown,Delivered,0,false,1198,1
8,Nathan Marshall,Unknown,22,Delhi,Rajasthan,04-18-2024,Keyboard,Accessories,3,500,Cash,Delivered,4,,1500,1
