customer_id,customer_name,email,registration_date,customer_type
1,Betty Evans,carpenteraaron@example.com,2025-02-17,PREMIUM
2,Timothy Marks,wmiller@example.org,2022-10-09,REGULAR
3,Gary Cooper,rschmidt@example.net,2026-05-19,REGULAR
4,Lauren Mathis,dyerjose@example.net,2024-11-25,REGULAR
5,William Mcdonald DDS,hgates@example.org,2023-08-31,PREMIUM
6,Michael Kim,judy33@example.org,2022-05-11,REGULAR
7,Rebekah Compton,sarah63@example.net,2026-05-20,REGULAR
8,Mr. Jonathan Lynch,jamesmcbride@example.org,2024-12-25,REGULAR
9,James Hudson,jonesmark@example.net,2025-02-03,REGULAR
10,Carrie Armstrong,mcclurerachel@,2022-01-10,REGULAR
11,Brian Prince,jason61@example.org,2022-06-10,REGULAR
12,Lisa Hill,xwilson@example.net,2021-10-10,VIP
13,Jeffrey Rosario,hansenrachel@example.org,2022-01-06,REGULAR
14,John Kirby,rhonda79@example.net,2022-06-19,PREMIUM
15,William Solomon,medinajesse@example.com,2022-11-04,REGULAR
16,Stacy Christensen,alicia18@example.com,2023-05-17,VIP
17,Douglas House,blackjames@example.org,2024-05-12,REGULAR
18,Valerie Riggs,wilsonralph@example.org,2022-07-18,REGULAR
19,Christopher Hawkins,petersonrichard@example.com,2025-10-16,REGULAR
20,Lawrence Martin,longmorgan@example.com,2021-08-29,REGULAR
21,Scott Gould,kathryn10@example.com,2025-11-10,REGULAR
22,Christopher Oconnor,zacharyanderson@example.net,2022-09-15,REGULAR
23,Jessica Johnson,murphymichael@example.com,2024-05-29,REGULAR
24,Jill Kirk,michaelclark@example.org,2022-09-07,REGULAR
25,Robert Jackson,wmcdonald@example.net,2023-08-24,REGULAR
26,Brittany Rodgers,jenniferrichardson@example.com,2024-11-03,REGULAR
27,Mark Allen,sharpbrendan@example.org,2026-01-01,REGULAR
28,Michael Brooks,williamfranklin@example.org,2025-06-09,VIP
29,Mr. Gabriel Porter,alison69@example.org,2025-07-30,REGULAR
30,Danielle Wade,markgutierrez@example.net,2024-01-16,REGULAR
31,Laura Thomas,hansenjeffrey@example.org,2026-04-21,REGULAR
32,Amber Dickerson,eperez@example.net,2024-10-23,VIP
33,Richard Juarez,dfoster@example.com,2025-10-06,REGULAR
34,Michael Peters,mwright@example.org,2023-03-02,PREMIUM
35,Dean Davis,qdavidson@example.net,2025-07-23,REGULAR
36,Michael Phillips,arnoldjorge@example.org,2023-09-12,REGULAR
37,Michelle Williams MD,ydiaz@example.com,2026-04-14,REGULAR
38,Mark Gibson,bradshawdennis@example.net,2025-06-24,REGULAR
39,James Lambert,heathercannon@example.net,2022-01-29,PREMIUM
40,Sandra Morales,hayden41@example.com,2023-11-19,REGULAR
41,Eric Allen,williammorgan@example.net,2021-11-23,REGULAR
42,Judy Martinez,adonaldson@example.org,2025-07-20,REGULAR
43,Charles Brown,jjones@example.net,2021-08-23,VIP
44,Robert Harper,michaelreyes@example.net,2023-09-26,VIP
45,Heather Allen,rperez@example.com,2023-12-25,VIP
46,Michael Thomas,matthewjohnson@example.net,2023-10-14,REGULAR
47,Jill Obrien,dawngreen@example.net,2023-12-12,REGULAR
48,Rachel Garza,patricia62@example.com,2021-09-25,REGULAR
49,Keith Alexander,larasuzanne@example.org,2021-12-20,REGULAR
50,Micheal Fernandez,masonwendy@example.net,2024-05-21,REGULAR
51,Richard Rodriguez,rodgerschristopher@example.com,2022-03-21,REGULAR
52,Samantha Medina,gkramer@example.net,2023-05-01,REGULAR
53,Robin Harris,julianhernandez@example.com,2024-09-03,VIP
54,Nicole Anderson,iwest@example.org,2021-08-20,REGULAR
55,Krystal Davis,gbowman@example.org,2026-03-08,PREMIUM
56,Brian Washington,lsmith@example.com,2023-06-01,REGULAR
57,Mr. Gerald Torres,dshea@example.net,2021-11-14,REGULAR
58,Tina Harris,dbrown@,2025-11-19,REGULAR
59,Michelle Francis,carolynmartinez@example.net,2024-04-14,REGULAR
60,Robert Mckee,kristi25@example.net,2022-11-20,VIP
61,Shane Galloway,peter18@example.com,2025-09-02,REGULAR
62,Brandy Burnett,kclayton@example.com,2024-11-27,REGULAR
63,Carl Marshall,barbara98@example.net,2026-01-21,REGULAR
64,Amber Miller,carrierose@example.org,2022-03-08,REGULAR
65,Patrick Patterson,robert72@example.com,2021-07-17,REGULAR
66,Cynthia Gibbs,craigcarlos@example.org,2025-10-08,PREMIUM
67,Mark Ball,arianahayes@example.org,2022-01-31,PREMIUM
68,Brittany Martinez,robert94@example.org,2023-03-21,PREMIUM
69,Andrea White,lucerojeffrey@example.com,2022-09-27,REGULAR
70,Connie Johnson,teresamartinez@example.net,2022-03-02,PREMIUM
71,Valerie Olson,radkins@example.org,2024-01-25,REGULAR
72,Nancy Thornton,mariahmunoz@example.org,2025-12-06,REGULAR
73,Jeffrey Butler,kristarodriguez@example.com,2025-05-30,REGULAR
74,Bryan Cortez,hmercer@example.org,2022-07-20,REGULAR
75,Amanda Scott,brianhammond@example.net,2026-03-19,REGULAR
76,Emily Fitzgerald,rogersbenjamin@example.net,2022-04-15,REGULAR
77,Jackie Todd,phyllis70@example.com,2023-09-06,PREMIUM
78,Renee Taylor,igarner@example.net,2024-07-28,REGULAR
79,Michael Edwards,ramosheather@example.com,2025-08-10,REGULAR
80,Barbara Schroeder,adam67@example.net,2023-03-27,VIP
81,Jessica Bowen,brandonpadilla@example.com,2025-11-29,PREMIUM
82,Jared Daugherty,nancymathis@example.net,2023-12-19,REGULAR
83,Pedro Carson,penarachel@example.com,2024-01-23,PREMIUM
84,Thomas Harvey,mcleangrace@example.com,2022-02-23,PREMIUM
85,Kim Simpson,marc77@example.com,2025-12-22,REGULAR
86,Stephanie Cook,courtney56@example.org,2022-07-19,REGULAR
87,Crystal Mcpherson,zjones@example.com,2025-09-17,REGULAR
88,Jeremy Barnes,ceaton@example.net,2021-10-12,REGULAR
89,David Miller,rodgerswayne@example.org,2025-11-29,REGULAR
90,John Austin,vmitchell@example.net,2025-08-06,REGULAR
91,David Jones,debrareese@example.org,2022-06-23,REGULAR
92,Eric Navarro,kayla29@example.com,2022-05-05,REGULAR
93,Thomas Casey,rbrady@example.com,2022-10-12,VIP
94,Matthew Jimenez,michaelandrews@example.org,2024-04-26,REGULAR
95,Joseph Perkins,ofranco@example.com,2024-12-10,VIP
96,Eric Bennett,allenkarina@example.net,2023-10-17,REGULAR
97,Jasmine Hernandez,owenjeffrey@example.net,2022-03-10,PREMIUM
98,Adrian Gallegos,clarklarry@example.com,2023-11-03,REGULAR
99,Joann Fisher,alianthony@example.net,2024-08-31,REGULAR
100,Scott Hendrix,leslie34@example.org,2021-09-06,REGULAR
101,Mandy Wright,bwilkinson@example.org,2023-04-03,REGULAR
102,Peter Banks,richardburnett@example.org,2023-06-14,REGULAR
103,James Avila,john43@example.org,2024-07-13,REGULAR
104,Laura Webb,francisco64@example.net,2023-12-05,REGULAR
105,Larry Mccall,thomas71@example.com,2024-10-14,PREMIUM
106,Carolyn Clark,imontoya@example.net,2023-07-15,REGULAR
107,Brian Bryant,qcowan@example.net,2026-05-25,REGULAR
108,Jonathan Beltran,jenkinsdonna@example.com,2026-05-19,REGULAR
109,James Smith,greenbrianna@example.com,2026-05-15,PREMIUM
110,Sherry Reynolds,amandaryan@example.org,2025-10-01,REGULAR
111,Albert Martin,hkim@example.net,2025-03-09,PREMIUM
112,Melissa Sanchez,jennifertownsend@example.com,2024-05-17,PREMIUM
113,Claudia Black,burtonteresa@example.com,2025-11-24,REGULAR
114,Michael Garcia,petersonnicholas@example.org,2022-03-07,REGULAR
115,Stephanie Jackson,shart@example.com,2025-08-09,REGULAR
116,David Taylor,clarknancy@example.com,2021-07-10,REGULAR
117,Sarah Williams,udiaz@example.net,2025-09-14,REGULAR
118,Bianca Gregory,kcantrell@example.net,2021-10-07,REGULAR
119,Karen Combs,jenniferreid@example.net,2025-04-11,REGULAR
120,Dennis Willis,tamara91@example.net,2023-03-10,REGULAR
121,Shari Davis,allen98@example.org,2024-09-03,REGULAR
122,Kimberly Klein,david24@example.org,2024-05-24,PREMIUM
123,Anthony Houston,kaylaortega@example.com,2026-02-06,REGULAR
124,Brenda Smith,charlesjuarez@example.com,2023-10-15,REGULAR
125,Stacey Chang,garciatroy@example.com,2022-10-10,REGULAR
126,James Hughes III,evanmartinez@example.net,2026-07-04,PREMIUM
127,Benjamin Cooper,georgetimothy@example.com,2025-05-20,REGULAR
128,Diane Lopez,santosdavid@example.org,2022-07-29,REGULAR
129,Abigail Nguyen,stewartrobert@example.org,2025-05-02,REGULAR
130,Ashley Le,samanthawarren@example.net,2022-02-03,REGULAR
131,Dalton Carter,hutchinsonjennifer@example.org,2022-07-21,REGULAR
132,Tanya Allen,vmoore@example.com,2023-12-19,REGULAR
133,Kevin Hensley,awyatt@example.com,2025-02-12,REGULAR
134,Seth Lopez,timothy73@example.net,2023-08-06,REGULAR
135,Jack Russell,bowmantanya@example.net,2024-04-21,VIP
136,Angela Perez,gregorylinda@example.org,2022-06-25,REGULAR
137,Jennifer Nelson,nicole81@example.net,2023-02-04,REGULAR
138,Casey Parker,frank34@example.net,2023-03-21,REGULAR
139,Caitlyn Sellers,christopherrose@example.net,2022-06-22,REGULAR
140,Crystal Castillo,hannah84@example.net,2023-09-09,PREMIUM
141,Christian Hernandez,jamesrichardson@example.org,2024-12-19,REGULAR
142,Amber Johnston,lewislaura@example.com,2021-12-05,PREMIUM
143,Jodi Pope,hillsean@example.net,2023-04-19,REGULAR
144,Natalie Ramirez,shirley28@example.com,2024-04-01,REGULAR
145,Mr. Joshua Hutchinson MD,ryan36@example.com,2022-12-18,REGULAR
